1.1276,2.5129,4.0253,5.5264,6.9816,8.369,9.6703,10.869,11.95,12.902,13.716,14.388,14.919,15.313,15.583,15.743,15.811,15.804,15.741,15.635,15.498,15.331,15.133,14.896,14.607,14.251,13.814,13.283,12.647,11.901,11.044,10.081,9.0233,7.8868,6.6935,5.4703,4.2492,3.0677,1.9711,1.0203,0.33245
1.1057,2.4643,3.9484,5.4225,6.8533,8.2196,9.5035,10.689,11.762,12.709,13.523,14.199,14.736,15.141,15.422,15.595,15.675,15.682,15.631,15.538,15.411,15.255,15.066,14.837,14.555,14.206,13.776,13.25,12.619,11.877,11.024,10.064,9.0093,7.8755,6.6846,5.4635,4.2442,3.0642,1.9689,1.0192,0.3321
1.0797,2.4067,3.8569,5.2986,6.6995,8.0394,9.3011,10.469,11.528,12.468,13.279,13.956,14.498,14.911,15.203,15.388,15.482,15.502,15.465,15.385,15.271,15.126,14.947,14.728,14.455,14.115,13.692,13.174,12.55,11.815,10.968,10.016,8.9673,7.8398,6.655,5.4398,4.2261,3.0514,1.9608,1.015,0.33073
1.0505,2.3418,3.7536,5.1584,6.525,7.8342,9.0693,10.215,11.258,12.186,12.991,13.667,14.212,14.632,14.934,15.131,15.238,15.273,15.25,15.183,15.082,14.95,14.783,14.575,14.312,13.982,13.569,13.06,12.445,11.72,10.883,9.9395,8.9008,7.7828,6.6075,5.4015,4.1967,3.0304,1.9474,1.008,0.32849
1.0186,2.271,3.641,5.0051,6.3338,7.6085,8.8135,9.9341,10.957,11.871,12.667,13.339,13.885,14.311,14.622,14.83,14.95,14.999,14.991,14.939,14.852,14.732,14.578,14.382,14.131,13.812,13.41,12.912,12.309,11.595,10.77,9.8391,8.8126,7.7071,6.5441,5.3504,4.1574,3.0022,1.9294,0.99876,0.32547
0.98473,2.1957,3.5209,4.8416,6.1293,7.3665,8.5383,9.6307,10.631,11.527,12.311,12.978,13.524,13.953,14.271,14.49,14.624,14.686,14.693,14.656,14.583,14.478,14.338,14.154,13.916,13.61,13.22,12.735,12.145,11.445,10.633,9.7167,8.7049,7.6144,6.4665,5.2876,4.109,2.9675,1.9072,0.98734,0.32175
0.94932,2.1169,3.3953,4.6702,5.9145,7.1119,8.248,9.3095,10.284,11.161,11.931,12.589,13.133,13.564,13.889,14.118,14.263,14.34,14.361,14.339,14.281,14.19,14.064,13.894,13.67,13.377,13.001,12.53,11.955,11.27,10.475,9.5743,8.5795,7.5063,6.3759,5.2143,4.0526,2.927,1.8813,0.97397,0.3174
0.91282,2.0357,3.2656,4.493,5.6923,6.8478,7.9461,8.9746,9.9215,10.776,11.531,12.178,12.717,13.149,13.479,13.716,13.873,13.963,13.998,13.991,13.948,13.873,13.761,13.606,13.395,13.117,12.756,12.301,11.741,11.073,10.295,9.4136,8.4378,7.3841,6.2733,5.1313,3.9886,2.8811,1.852,0.95883,0.31248
0.87561,1.9529,3.1333,4.3121,5.4649,6.5771,7.636,8.6298,9.5471,10.378,11.114,11.75,12.282,12.713,13.046,13.291,13.458,13.56,13.609,13.617,13.589,13.528,13.431,13.29,13.095,12.832,12.487,12.048,11.506,10.856,10.098,9.2359,8.2811,7.2489,6.1598,5.0394,3.9178,2.8303,1.8194,0.94204,0.30701
0.83804,1.8693,2.9995,4.129,5.2345,6.3024,7.3207,8.2782,9.1644,9.9695,10.686,11.307,11.831,12.259,12.594,12.845,13.021,13.135,13.197,13.219,13.205,13.159,13.077,12.951,12.771,12.524,12.195,11.774,11.25,10.62,9.8825,9.0426,8.1105,7.1015,6.0361,4.9391,3.8405,2.7748,1.7839,0.92373,0.30105
0.8004,1.7854,2.8654,3.9452,5.0031,6.026,7.0028,7.923,8.7767,9.5546,10.249,10.855,11.369,11.792,12.127,12.382,12.566,12.69,12.765,12.8,12.801,12.769,12.701,12.591,12.426,12.195,11.884,11.48,10.976,10.367,9.6513,8.8347,7.9269,6.9429,5.9028,4.8312,3.7572,2.715,1.7457,0.90398,0.29463
0.76296,1.702,2.7319,3.7621,4.7721,5.7497,6.6846,7.5668,8.387,9.1366,9.8083,10.397,10.899,11.316,11.65,11.908,12.098,12.231,12.317,12.364,12.378,12.36,12.307,12.212,12.063,11.847,11.554,11.169,10.685,10.098,9.4054,8.6134,7.7312,6.7738,5.7607,4.716,3.6683,2.6512,1.7049,0.88291,0.28777
